,cid,text,time,author,channel,votes,photo,heart
835,UgzmcQMC1cdZnJS4L5J4AaABAg,Proud to be a sri lankan ( Dhee ) ❤️❤️🇱🇰,13 hours ago,Madan Kanth,UCILUT0yM5nYBrNE8dwbtQ-g,3,https://yt3.ggpht.com/ytc/AAUvwnipVoA75zlVLJcnf9Dc8UXa88HQf3wlIxXOZw=s176-c-k-c0x00ffffff-no-rj,False
836,UgyA3pSZ9jIAYvxaX9B4AaABAg,👏🏼👏🏼👏🏼👏🏼👏🏼🇸🇦.,13 hours ago,Raz 22.,UCkUf2vFTKxOcWST--04LsPQ,1,https://yt3.ggpht.com/ytc/AAUvwnh4RPoyV3mRswaAUaDQ9m7oUwJc-0t7ZbTssRT-=s176-c-k-c0x00ffffff-no-rj,False
837,Ugxpu1PnQZrL4IgV6f14AaABAg,200m💚💛💜👍,12 hours ago (edited),Ganesan Ganes,UCHFVJ8cSMVvhOBUg5MFgRGg,1,https://yt3.ggpht.com/ytc/AAUvwnjxvGt7c30oi2odr7hY7V_8xJ8XXqpC7AFKuA=s176-c-k-c0x00ffffff-no-rj,False
838,Ugy23EtU0rfv8bQIrO94AaABAg,සිංහල තේරුම දන්න කෙනෙක් කියන්න,12 hours ago,Dinindu Aroshana,UCixZd7PSoxNLpav1-6oSk7A,1,https://yt3.ggpht.com/ytc/AAUvwnhgC-ofAoSbXt3odKMPHq6RcmCWvTajujhSkSyoJA=s176-c-k-c0x00ffffff-no-rj,False
839,UgxYIYd1EinT1Ge01Hd4AaABAg,Song is vera lvl❤️❤️❤️....,12 hours ago,Rowdy kumar v Naveen Kumar v,UChUjANFAubFXyUZMme9D-Eg,1,https://yt3.ggpht.com/ytc/AAUvwnjhLqHyuBeDQwYzwHME6LzDTbF0-BfNfhkrSWpV=s176-c-k-c0x00ffffff-no-rj,False
840,Ugyzx_EDs5C1K0TlUO14AaABAg,"This song fan from #Karnataka 
Really this song is out of our mind😇❤👍👇",11 hours ago,Indian Muslim,UCf6kPToAcjPCbrJh2A3Nj7Q,4,https://yt3.ggpht.com/ytc/AAUvwnhn5LabGhwQ0oeHoDF_b3sfFhx_2OLa3SuTCRam_g=s176-c-k-c0x00ffffff-no-rj,False
841,UgxnJjaV0GDGlO8PA0h4AaABAg,අම්මෝ ඒක 😂❤️,11 hours ago,Umesh Sandeepa,UCoZkmuRB-KKVJXAgoIe51Rw,1,https://yt3.ggpht.com/ytc/AAUvwnglC7R9qpbBHgtu0G4EXmoHF5ILIdkWoN2Cc47dlQ=s176-c-k-c0x00ffffff-no-rj,False
842,UgxYrjSowVJxbGh32v14AaABAg.9NDHGGh22et9NDHIyUVuY8,Yes😁,16 hours ago,Ragu.P Kannan,UC-3y6gdxlRqvpCVjGOOAf2A,1,https://yt3.ggpht.com/ytc/AAUvwnjo_31Kbi0ldJ16v_oVcbkXzSEylOL8f8giI6jbFQ=s176-c-k-c0x00ffffff-no-rj,False
843,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NE2HjzRyZd," @Rithish kumar  oo😯 but world war 3 between India and srilanka is impossible
And I also from tamil Nadu only bro not srilanka😅",8 hours ago,pavithra,UCRJwVArOu_BIg245urYo_Pw,0,https://yt3.ggpht.com/ytc/AAUvwnhDNDbjezVRGAumpr2z_MvrIPr4aoTFF3EgIU3OsQ=s176-c-k-c0x00ffffff-no-rj,False
844,UgzmcQMC1cdZnJS4L5J4AaABAg.9NDY3o0TET39NE1btc1W7L, @pavithra  If World War III start we will occupy your country,9 hours ago,Rithish kumar,UCx_e8wF9LKkWWapHq6bE-xg,0,https://yt3.ggpht.com/ytc/AAUvwnhGdcOok-zjCqVvS517VcW9m1Mo0IEA4y1Fkl5Jpw=s176-c-k-c0x00ffffff-no-rj,False
